train,test,model,median,p95,max,mean,n
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,3.915,7.324,13.498,4.09,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,4.162,8.295,11.6,4.428,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,3.157,8.996,23.623,3.897,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,3.2,8.772,24.055,3.873,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,3.448,9.268,22.587,4.165,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,1.985,4.269,17.075,2.252,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,1.946,4.054,8.38,2.132,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,2.289,5.212,9.623,2.565,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,1.985,4.2,17.496,2.246,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,1.961,3.917,9.035,2.122,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,2.327,5.016,9.45,2.564,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,2.992,7.617,17.88,3.421,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,2.744,7.597,13.41,3.26,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,3.099,7.803,17.481,3.538,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,5.506,8.909,13.33,5.66,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,5.397,9.077,12.366,5.585,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,5.664,9.296,12.371,5.804,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,2.808,5.735,13.993,3.018,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,2.829,5.445,9.655,2.953,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,2.997,6.399,10.911,3.263,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,5.556,9.924,13.508,5.665,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,5.424,10.053,14.476,5.589,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,5.649,10.127,13.719,5.768,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,6.315,8.602,13.317,5.985,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,6.275,8.596,10.656,5.911,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,6.39,8.877,10.666,6.11,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,7.664,12.355,15.004,7.774,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,7.734,12.397,14.835,7.696,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,7.845,12.309,15.081,7.807,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,10.07,16.087,19.676,9.917,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,10.007,16.042,19.469,9.822,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,10.088,16.143,19.634,9.936,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,5.403,8.359,15.017,5.465,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,5.333,8.53,13.093,5.418,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,5.611,8.47,12.683,5.61,1485
IFRA-wb-GratN_90_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,7.391,11.388,14.914,7.347,1485
