SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
863,96.71,0.0,3.32,0.0,0.0,14.2399300044,21.7799333957,50.2087527434,53.7927276255,-36.5477298478,-49.1483671665
864,95.96,0.0,16.73,0.0,0.0,13.0252492154,21.4580739675,41.4564096932,53.4472258293,-42.7974415679,-39.2611206849
865,61.39,0.0,0.0,0.0,46.66,17.1524365221,29.4551849042,29.4485292483,61.1812676011,-51.4822663987,-8.79589600168
866,54.08,0.0,8.51,0.0,51.17,18.4868229558,31.6074557348,26.0868018778,63.0171149303,-52.2847839289,-0.0127880795871
867,49.12,1.92,20.67,0.42,53.89,18.5860181091,31.6576679448,21.8368788441,63.0589354935,-51.9503075005,7.90097301587
868,40.76,5.72,29.72,0.87,58.93,18.6429475845,31.406917352,17.8571919173,62.8496481614,-50.7536186969,15.8693184488
869,34.04,8.85,41.5,1.42,62.23,18.3556975603,30.5900766808,14.250577892,62.1600528627,-49.2738123742,23.3794117178
870,21.15,14.35,49.58,3.1,68.14,17.8942203094,29.3039833402,10.8807976994,61.0489767569,-46.9155365257,31.0431900209
871,13.56,17.28,63.0,4.5,70.58,17.4827477962,28.2760958288,7.76607692963,60.1373582879,-45.1890898265,40.2951571542
872,3.73,24.28,75.36,2.31,75.32,17.649669741,27.4183970541,5.50821702994,59.3596159149,-40.9389610381,48.7974086161
873,0.46,27.27,91.81,0.78,76.76,18.7459935513,27.5964060188,3.44262262891,59.5223504545,-35.8801163853,60.843328311
874,80.66,3.74,3.23,3.66,5.34,15.9022988166,23.5616139216,45.5055162826,55.6461735996,-34.6286891751,-40.4863992615
875,73.38,4.07,8.25,2.73,16.35,16.8019252444,25.6851749086,39.1420752831,57.7370057882,-38.5649252454,-28.849395602
876,64.78,5.44,12.62,2.29,27.01,18.2913359795,28.0421149046,33.5066754517,59.9267675144,-39.9841454535,-17.1971387884
877,61.66,6.17,25.05,2.21,29.33,18.2617621078,28.42535232,27.9306678252,60.2710879507,-41.6231993061,-7.88464112142
878,57.51,7.35,36.32,2.13,32.75,18.0164257894,28.457206356,22.6610033294,60.2995676329,-43.0375737133,1.54797979312
879,48.75,10.47,43.5,1.99,40.47,19.2365995437,29.6791262737,18.1829288629,61.3763714573,-41.3665046836,12.6034560503
880,36.45,14.7,49.3,3.13,49.06,20.1896661153,30.3832443382,14.7096778405,61.9834967027,-39.2361404802,21.891549958
881,22.14,19.66,55.89,5.15,56.72,20.272309886,29.7687469563,11.0234687631,61.4541764764,-36.550032624,31.2988012057
882,9.65,26.72,65.25,3.59,63.6,20.0280924411,28.7607700018,7.85132177627,60.5699139305,-33.9372420114,40.7092847535
883,2.74,31.02,79.08,2.07,66.86,20.061380238,27.9609006202,5.17478241901,59.8533981009,-30.6848546148,51.3200504408
884,0.0,33.81,95.21,0.0,68.39,21.3541625726,28.0487148723,3.06065458351,59.9327237332,-24.794783193,64.217578202
885,75.73,17.18,1.05,0.93,0.0,18.804996354,23.8004705871,50.1268359482,55.8874652367,-19.9089388041,-45.4445298264
886,71.3,13.54,11.82,6.49,0.77,18.1913698309,24.0770157441,39.9290139941,56.1648214577,-24.2931780538,-32.5984537381
887,65.77,14.32,20.15,5.44,8.66,19.3410817562,26.0745070298,34.4559210576,58.1077039668,-26.7494405852,-21.7190621768
888,64.13,14.64,33.49,5.12,9.7,19.3072325242,26.5456722381,28.3959119076,58.5514163115,-28.8328354823,-11.6192597426
889,61.65,15.2,45.61,4.69,12.1,19.3084437963,26.8442646832,22.6656484126,58.829899163,-30.0270757022,-0.994813485541
890,56.8,16.13,55.61,4.56,17.21,19.8956409863,27.7331399811,17.8138827816,59.6468770793,-30.612822322,10.444453466
891,40.79,19.58,57.75,6.08,32.01,21.8722129193,29.2527128758,14.4294336565,61.0040153733,-26.9857183267,20.9222141337
892,19.35,28.37,58.53,5.14,48.22,23.9276341888,30.8179859816,12.1054141969,62.3536815155,-23.5359649455,29.608484637
893,8.07,34.02,68.59,3.53,54.92,23.5351635597,29.6761989107,8.24841146098,61.3738274002,-21.0397876658,40.5812554843
894,1.41,38.13,82.14,1.27,58.64,23.4157559069,28.8170692764,5.33058069866,60.6198432943,-18.3191968749,51.851923008
895,0.0,39.51,98.49,0.0,59.16,25.4672294527,29.6762876448,3.00503163934,61.373904518,-12.7135236077,67.1089094394
896,63.98,26.79,6.38,2.69,0.56,23.6620069675,27.1725592381,46.1910965996,59.1337105298,-10.8237651941,-35.2929751626
897,59.96,25.65,17.94,5.09,2.6,23.7396927856,27.8480100502,38.0531585524,59.7511757897,-13.1430549447,-23.9166106101
898,59.04,25.24,32.57,5.86,1.53,22.6952449223,27.3498582952,31.0424528491,59.2967704675,-15.8491740391,-14.559743384
899,57.36,25.6,45.66,5.47,2.78,22.215448998,27.3462286287,24.5565834355,59.2934393806,-18.0257596709,-3.71499334641
900,51.44,25.62,55.23,6.86,8.02,23.3723738662,28.694684669,18.811535725,60.5112225387,-18.0437645596,9.73544455265
901,36.46,27.84,58.87,8.91,21.62,25.6880270735,30.3043299356,15.0804990529,61.9159226518,-14.1253921072,20.8370043691
902,17.62,36.1,61.52,5.42,38.69,26.0491389847,29.9282172008,11.7926577196,61.5922367729,-11.2296713841,29.2120182785
903,6.96,40.87,71.78,3.58,45.71,26.2155866552,29.5398274347,7.99507432147,61.2551263599,-9.08963874923,41.3367903494
904,1.07,44.25,85.37,1.17,49.39,26.6981266985,29.5182239912,5.03678414667,61.2362886987,-7.03317151084,54.4170649226
905,0.0,45.34,99.36,0.01,51.12,27.2951554814,29.4314645683,2.92245529273,61.1605439463,-4.29542597707,67.3539374247
906,56.35,38.09,0.73,0.24,0.0,28.4987704479,28.6265953804,49.402728154,60.4506570738,3.52069290265,-36.7573642428
907,53.06,36.92,14.02,3.13,0.0,28.399796018,29.5167960688,41.0426356554,61.2350432625,-0.246282408171,-25.3030971581
908,50.87,36.47,27.96,4.42,0.0,27.4394080986,29.1768557943,33.1067694438,60.937396409,-2.75626506129,-14.8630972431
909,49.37,36.39,42.0,4.85,0.0,26.4214219424,28.6141943286,25.7523108069,60.4396159949,-4.72898452679,-3.87190524668
910,42.84,35.86,51.95,7.7,4.04,26.8603658601,29.0095887479,19.9755827268,60.7900905896,-4.45113016649,7.74636481185
911,29.14,39.22,56.95,7.01,17.91,28.7779923793,30.395877468,16.246203613,61.9943035267,-2.04878456224,18.1199270302
912,15.59,43.79,63.89,5.39,29.4,29.0143574579,30.0088387477,11.9281671525,61.6618477504,0.296511857447,28.933032489
913,5.56,47.8,74.41,3.28,36.67,28.7497288977,29.3420275667,7.87034897517,61.0823055719,1.77281870449,41.5190184893
914,0.79,50.26,88.27,1.05,39.87,29.0679578919,29.2260869603,4.74748259523,60.9806451787,3.43892150211,55.5138457408
915,0.0,48.96,100.0,0.0,38.17,31.1480648445,30.5850232534,2.73547535304,62.1557486574,6.18720084959,70.5015675656
916,44.16,47.14,7.92,1.65,0.0,31.6191284911,28.9521854807,42.524099533,60.7394072013,14.0129100478,-28.0418108138
917,40.9,46.5,21.82,3.91,0.0,31.1827448353,29.0115118378,34.3554909652,60.7917873963,12.193619037,-16.9459482905
918,38.6,46.3,36.1,5.0,0.0,30.8939568427,29.2380738382,27.7471430367,60.9911681003,10.2714792142,-6.33716226856
919,34.71,46.65,48.66,5.5,2.48,27.9065613851,26.1598215204,19.3661472708,58.1884415485,10.9485152319,4.5415309653
920,23.97,48.6,56.6,5.74,11.94,29.1185397796,27.236061142,14.9748610218,59.1921938175,11.3421110749,16.406563596
921,11.47,52.21,64.6,4.13,22.62,29.3850984503,27.1206859109,11.0400766946,59.0858691486,12.8208872405,27.1641921807
922,4.65,54.25,76.98,3.14,27.05,29.5686669329,27.0287001253,7.31357520839,59.0008828997,13.8863886883,40.1381431988
923,0.51,56.19,90.88,0.82,30.14,30.2783956235,27.4855059392,4.0619029395,59.4210488685,14.7516633568,56.7363701979
