SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1779,50.0,100.0,100.0,100.0,50.0,100.0,100.0,1.71214524921,1.66547412081,0.776720703748,13.6235625223,2.75303426287,8.84567130035
1780,100.0,0.0,0.0,0.0,50.0,0.0,0.0,8.82405628629,9.45003728938,17.9879056552,36.8367176078,-2.42986196097,-29.2728389636
1781,0.0,100.0,100.0,100.0,50.0,100.0,100.0,1.70483323681,1.65577773719,0.747299742548,13.5659611718,2.81536097257,9.28643109727
1782,0.0,50.0,0.0,0.0,50.0,0.0,0.0,40.3750724902,24.9234878051,14.6861786768,57.0007959011,59.3983249966,13.3606592777
1783,100.0,50.0,100.0,100.0,50.0,100.0,100.0,1.19581140534,1.31602373413,0.869900187181,11.3870904719,-2.3156163613,3.36435525111
1784,50.0,50.0,0.0,0.0,50.0,0.0,0.0,21.0338762062,14.6909386491,14.3304718668,45.2079504793,37.1540580044,-6.05610766561
1785,50.0,50.0,100.0,100.0,50.0,100.0,100.0,1.13192750285,1.26368759915,0.785636701817,11.0191218854,-2.82829721883,4.19428648982
1786,100.0,50.0,0.0,0.0,50.0,0.0,0.0,6.37755908602,5.8778097373,13.5575633345,29.1020723425,7.7961966192,-31.7815400997
1787,0.0,50.0,100.0,100.0,50.0,100.0,100.0,1.15184392608,1.28947890998,0.796150204913,11.2017014897,-2.95268394494,4.32082467802
1788,100.0,0.0,100.0,100.0,50.0,100.0,100.0,0.820259479647,1.01055361419,0.824347234953,9.07905160584,-6.014380374,0.16423815762
1789,50.0,100.0,0.0,0.0,50.0,0.0,0.0,14.7061806747,7.57702757351,7.13128683926,33.0859964675,55.5589281925,-3.79557855962
1790,50.0,0.0,100.0,100.0,50.0,100.0,100.0,0.845858119909,1.06049219775,0.828471031192,9.48553853612,-6.73288772753,0.793368742415
1791,100.0,100.0,0.0,0.0,50.0,0.0,0.0,4.27215181277,2.58265958645,6.90294508864,18.2883861602,29.1273610839,-28.3546451255
1792,0.0,0.0,100.0,100.0,50.0,100.0,100.0,0.887721136754,1.11338234308,0.82587974559,9.902365808,-6.85677460698,1.55706861623
1793,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.553391308,37.6665238745,12.0019455818,67.7741127034,42.0701880932,39.2554506803
1794,100.0,100.0,50.0,100.0,50.0,100.0,100.0,1.58338642807,1.39938686731,0.670652403623,11.9535682996,6.59585522309,7.95085375859
1795,50.0,0.0,50.0,0.0,50.0,0.0,0.0,27.4076735271,23.4870726377,11.7437568419,55.5705387177,20.2499101852,18.9745182408
1796,50.0,100.0,50.0,100.0,50.0,100.0,100.0,1.55905270835,1.38714195974,0.655668337006,11.8717962715,6.29393473827,8.09269584133
1797,100.0,0.0,50.0,0.0,50.0,0.0,0.0,7.4661981281,8.88052478808,10.9314413875,35.7532386838,-9.96629745896,-12.7278465103
1798,0.0,100.0,50.0,100.0,50.0,100.0,100.0,1.58043386225,1.40764671625,0.6693612726,12.0084588763,6.28021605422,8.06986313362
1799,0.0,50.0,50.0,0.0,50.0,0.0,0.0,40.15109528,25.6128164809,9.20363641852,57.6676984682,55.8307792127,30.7382843517
1800,100.0,50.0,50.0,100.0,50.0,100.0,100.0,1.09294003493,1.08788449431,0.870824746983,9.70310467137,1.52427678756,0.445400174075
1801,50.0,50.0,50.0,0.0,50.0,0.0,0.0,21.7308254663,16.2723194437,10.1753777594,47.3297552586,31.296593243,9.63864291257
1802,50.0,50.0,50.0,100.0,50.0,100.0,100.0,1.05976936766,1.06959567383,0.791083380045,9.55825517154,1.00069904654,1.57781459926
1803,100.0,50.0,50.0,0.0,50.0,0.0,0.0,5.8663063886,6.25868844667,8.87867040338,30.055952333,-1.86964962739,-15.7214640557
1804,0.0,50.0,50.0,100.0,50.0,100.0,100.0,1.10087637058,1.12331940836,0.790628248848,9.97919820982,0.605416276773,2.31172820564
1805,0.0,100.0,50.0,0.0,50.0,0.0,0.0,29.2931674674,14.6399753444,4.48392199031,45.1370910758,72.5936863776,29.6534801331
1806,100.0,0.0,50.0,100.0,50.0,100.0,100.0,0.702493235584,0.776034531099,0.853762251757,7.0098911774,-1.85061091365,-3.90965532574
1807,50.0,100.0,50.0,0.0,50.0,0.0,0.0,14.6040051451,7.74944839082,4.39249857658,33.4555367085,53.3459740886,10.0312708981
1808,50.0,0.0,50.0,100.0,50.0,100.0,100.0,0.752095009019,0.84964876745,0.832395230156,7.6748458479,-2.71403336018,-2.39653271772
1809,100.0,100.0,50.0,0.0,50.0,0.0,0.0,3.87260606047,2.68046681632,4.42989395442,18.7158764637,21.5878103548,-15.5948422344
1810,0.0,0.0,50.0,100.0,50.0,100.0,100.0,0.820246290592,0.937379502029,0.83803471458,8.45849931078,-3.34011853072,-1.1427809988
1811,100.0,100.0,0.0,100.0,50.0,100.0,100.0,1.50530568535,1.23409421453,0.600630832234,10.8065399642,9.41566689317,7.29489492662
1812,50.0,0.0,100.0,0.0,50.0,0.0,0.0,24.4138200695,20.7281722794,2.58831971792,52.6507035596,20.4010099778,55.286969028
1813,50.0,100.0,0.0,100.0,50.0,100.0,100.0,1.49206272902,1.23426089947,0.554802370494,10.8077467996,9.04293588151,8.16200037311
1814,100.0,0.0,100.0,0.0,50.0,0.0,0.0,6.23897690921,8.42790015216,2.64869710379,34.8586057102,-18.491776625,24.1242456434
1815,0.0,100.0,0.0,100.0,50.0,100.0,100.0,1.49201356611,1.23238451869,0.521660088758,10.7941551155,9.10015227456,8.76413602849
1816,0.0,50.0,100.0,0.0,50.0,0.0,0.0,38.3905316125,24.3825215503,2.12597931631,56.4687652104,55.4596859546,65.8743741891
1817,100.0,50.0,0.0,100.0,50.0,100.0,100.0,0.966178036447,0.879827605037,0.768405379096,7.94745017009,4.57001395256,-0.789490006988
1818,50.0,50.0,100.0,0.0,50.0,0.0,0.0,19.6239342901,14.2024341925,2.18370524087,44.5218578411,33.2301038934,44.7463741156
1819,50.0,50.0,0.0,100.0,50.0,100.0,100.0,0.98738573914,0.919640569752,0.715769327308,8.30323183919,3.81945115878,0.805575984902
1820,100.0,50.0,100.0,0.0,50.0,0.0,0.0,4.95342977869,5.68693467837,2.32360366411,28.6084776657,-6.41107269645,16.0629766383
1821,0.0,50.0,0.0,100.0,50.0,100.0,100.0,1.02266851984,0.960704614669,0.686184693057,8.65970904651,3.56105926577,1.97860988788
1822,0.0,100.0,100.0,0.0,50.0,0.0,0.0,28.6747353337,14.5960018436,1.51658696223,45.0758180192,70.4756130529,52.521508502
1823,100.0,0.0,0.0,100.0,50.0,100.0,100.0,0.62053469796,0.618363019046,0.858032155295,5.58565024871,0.979134145735,-6.43777740145
1824,50.0,100.0,100.0,0.0,50.0,0.0,0.0,13.7596565797,7.56789900053,1.48345680849,33.066276106,49.7852017856,32.2025767197
1825,50.0,0.0,0.0,100.0,50.0,100.0,100.0,0.693698655783,0.713392584301,0.815366253026,6.44404879205,0.233267790535,-4.22186760971
1826,100.0,100.0,100.0,0.0,50.0,0.0,0.0,3.56567793722,2.77349323801,1.70249230945,19.1129264144,15.227769911,5.68379242628
1827,0.0,0.0,0.0,100.0,50.0,100.0,100.0,0.868078573116,0.922234274314,0.871401805521,8.32605823373,-0.841021653524,-1.93850600921
1828,100.0,100.0,100.0,50.0,50.0,100.0,100.0,1.74593687756,1.69288994567,0.861513923861,13.7852258666,2.90877012784,7.64045389168
1829,50.0,0.0,0.0,50.0,50.0,0.0,0.0,12.039405793,9.82321006981,7.55489928093,37.5232487597,19.1975073215,2.13752009361
1830,50.0,100.0,100.0,50.0,50.0,100.0,100.0,1.69183319103,1.65636904932,0.824799130567,13.5694802896,2.46826519314,7.8984868859
1831,100.0,0.0,0.0,50.0,50.0,0.0,0.0,3.95796934459,4.24861458738,7.08182064087,24.476886705,-1.99516545271,-18.4339395183
1832,0.0,100.0,100.0,50.0,50.0,100.0,100.0,1.64575603084,1.6244472598,0.801236461654,13.3782909681,2.10199857515,7.98308539406
1833,0.0,50.0,0.0,50.0,50.0,0.0,0.0,15.7341369865,10.21623342,5.7030154089,38.2277507979,39.4807977626,11.4177928356
