SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1328,70.2,0.0,0.0,0.0,0.0,100.0,100.0,1.61174,1.50724,5.79259,12.654,4.335,-33.109
1329,0.0,0.0,0.0,0.0,0.0,3.5,0.0,78.0607,81.4329,72.062,92.324,-0.908,-4.424
1330,40.0,70.2,40.0,0.0,0.0,0.0,70.2,6.47972,4.1673,6.9635,24.217,29.933,-18.395
1331,0.0,100.0,100.0,40.0,40.0,100.0,0.0,2.4321,2.01734,0.627793,15.578,10.524,15.006
1332,0.0,0.0,40.0,40.0,40.0,100.0,100.0,1.89239,1.60277,1.37166,13.247,8.806,-0.622
1333,0.0,0.0,70.2,0.0,40.0,100.0,0.0,7.89798,13.62,3.72396,43.683,-40.108,31.688
1334,40.0,20.0,100.0,0.0,0.0,0.0,0.0,28.7882,32.4462,5.05152,63.71,-9.394,58.599
1335,0.0,0.0,40.0,20.0,0.0,0.0,0.0,46.672,49.4558,22.6838,75.734,-2.821,28.105
1336,40.0,100.0,40.0,70.2,0.0,0.0,0.0,3.04572,2.08341,1.79958,15.919,20.474,-0.851
1337,0.0,40.0,0.0,0.0,0.0,100.0,0.0,7.30911,13.9006,14.0847,44.09,-47.399,-7.351
1338,0.0,70.2,0.0,0.0,100.0,0.0,20.0,29.6391,16.0141,1.81633,46.993,65.923,52.552
1339,40.0,0.0,100.0,0.0,40.0,40.0,100.0,2.8532,2.1587,1.13735,16.299,15.433,7.73
1340,100.0,0.0,100.0,40.0,0.0,40.0,100.0,0.835073,0.86284,0.940379,7.794,0.126,-3.988
1341,40.0,40.0,0.0,0.0,100.0,0.0,0.0,23.9707,14.7869,2.11529,45.341,49.993,46.783
1342,70.2,20.0,0.0,0.0,0.0,70.2,0.0,9.15091,16.1342,23.5476,47.15,-44.128,-22.808
1343,40.0,0.0,100.0,40.0,40.0,100.0,0.0,3.35347,4.75634,1.14855,26.029,-17.95,24.349
1344,100.0,40.0,40.0,0.0,0.0,100.0,40.0,1.63068,3.01954,4.44884,20.122,-27.356,-13.284
1345,0.0,0.0,0.0,0.0,100.0,100.0,0.0,7.0591,6.57874,1.70061,30.828,7.324,25.898
1346,0.0,30.2,0.0,0.0,0.0,0.0,0.0,62.5327,54.5045,52.5727,78.755,24.369,-8.743
1347,0.0,0.0,70.2,0.0,100.0,20.0,0.0,40.2263,26.8229,1.20813,58.81,51.152,80.05
1348,100.0,40.0,0.0,40.0,100.0,0.0,40.0,3.96433,2.81567,1.18327,19.29,20.46,12.25
1349,40.0,0.0,40.0,40.0,40.0,40.0,40.0,5.13771,4.95738,3.30203,26.613,4.473,5.055
1350,40.0,100.0,20.0,0.0,0.0,0.0,100.0,3.11011,1.65696,4.22377,13.573,31.692,-23.279
1351,70.2,100.0,70.2,0.0,0.0,0.0,40.0,4.51143,2.92427,2.78098,19.738,26.128,-2.992
1352,0.0,20.0,0.0,0.0,70.2,0.0,70.2,14.5946,9.10203,5.30945,36.18,41.554,9.814
1353,100.0,40.0,100.0,20.0,0.0,100.0,0.0,1.35073,3.32069,1.59661,21.285,-40.179,10.586
1354,70.2,0.0,40.0,0.0,0.0,0.0,70.2,6.53868,6.14847,14.1169,29.784,6.552,-32.101
1355,0.0,0.0,0.0,0.0,0.0,0.0,2.7,78.4844,80.0137,72.625,91.691,2.662,-6.012
1356,40.0,40.0,0.0,40.0,0.0,40.0,40.0,4.43668,4.2799,7.67988,24.576,4.274,-20.687
1357,40.0,0.0,40.0,0.0,40.0,100.0,0.0,6.22407,10.9879,5.53772,39.56,-38.91,14.509
1358,100.0,0.0,40.0,40.0,40.0,0.0,100.0,1.92972,1.51293,2.10768,12.69,12.088,-9.441
1359,0.0,20.0,20.0,0.0,0.0,0.0,40.0,31.7661,26.5976,28.4964,58.6,23.779,-11.712
1360,0.0,0.0,0.0,0.0,0.0,90.2,0.0,16.0254,31.9832,26.5542,63.329,-67.03,-0.295
1361,0.0,70.2,70.2,0.0,0.0,0.0,70.2,10.4322,6.38718,4.03466,30.369,38.387,6.805
1362,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.596166,0.689032,0.48936,6.224,-2.754,1.492
1363,0.0,0.0,0.0,20.0,0.0,40.0,0.0,28.183,35.7168,31.3299,66.303,-22.929,-2.936
1364,0.0,0.0,5.1,0.0,0.0,0.0,0.0,80.8377,83.4314,68.464,93.203,0.765,0.328
1365,0.0,0.0,0.0,0.0,0.0,40.0,20.0,31.3122,37.3677,40.709,67.552,-16.46,-13.994
1366,70.2,40.0,100.0,0.0,70.2,0.0,0.0,11.6442,8.85366,1.3156,35.701,24.295,38.797
1367,40.0,100.0,0.0,100.0,0.0,0.0,0.0,1.31858,1.01491,1.14283,9.115,11.314,-4.733
1368,40.0,0.0,0.0,0.0,0.0,20.0,100.0,5.15226,2.79346,16.7639,19.197,36.616,-56.901
1369,100.0,0.0,40.0,0.0,0.0,70.2,0.0,5.43899,13.6303,14.0224,43.698,-65.561,-7.863
1370,20.0,20.0,0.0,0.0,0.0,40.0,0.0,28.2463,34.3101,37.869,65.208,-17.961,-14.271
1371,0.0,20.0,0.0,0.0,40.0,0.0,40.0,29.5427,21.6,17.2464,53.6,37.078,1.297
1372,20.0,70.2,70.2,0.0,0.0,40.0,0.0,13.6774,11.5409,5.18574,40.477,17.329,17.85
1373,20.0,70.2,100.0,0.0,0.0,0.0,40.0,13.89,9.38061,2.33279,36.707,34.923,29.941
1374,70.2,0.0,70.2,0.0,0.0,0.0,0.0,19.5319,29.9951,14.5486,61.65,-41.049,21.72
1375,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4.11393,2.55712,11.4882,18.175,27.41,-44.746
1376,0.0,0.0,70.2,20.0,0.0,40.0,0.0,23.6578,31.2046,8.70158,62.68,-26.118,41.156
1377,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.3677,16.6845,15.0819,47.86,75.781,-3.41
1378,100.0,100.0,20.0,0.0,40.0,0.0,0.0,3.76854,2.57016,4.11727,18.233,22.127,-14.615
1379,40.0,40.0,100.0,0.0,100.0,0.0,40.0,12.9966,7.97415,0.665169,33.929,41.153,45.94
1380,0.0,0.0,70.2,0.0,0.0,0.0,40.0,32.1372,31.0561,11.4647,62.555,8.071,31.842
1381,100.0,40.0,100.0,0.0,0.0,40.0,100.0,1.00308,1.00452,1.26635,9.029,1.267,-6.553
1382,100.0,40.0,100.0,40.0,0.0,40.0,0.0,1.89017,3.22753,1.65093,20.933,-24.376,9.377
1383,0.0,0.0,100.0,70.2,0.0,0.0,100.0,0.989519,0.777596,0.73792,7.024,9.415,-1.821
1384,100.0,0.0,0.0,0.0,40.0,100.0,100.0,2.0283,1.7341,2.90866,14.025,8.607,-13.816
1385,40.0,0.0,0.0,0.0,0.0,20.0,40.0,19.0859,19.9689,37.4327,51.802,-0.853,-36.79
1386,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.82737,4.43521,22.488,25.061,48.363,-58.887
1387,100.0,40.0,100.0,40.0,40.0,0.0,0.0,3.07377,3.26701,1.23142,21.083,-1.301,14.691
1388,0.0,0.0,100.0,0.0,0.0,100.0,0.0,9.2495,21.827,4.08141,53.843,-72.161,46.996
1389,20.0,0.0,0.0,0.0,0.0,0.0,40.0,31.19,28.7688,47.5725,60.577,13.157,-34.445
1390,0.0,100.0,40.0,40.0,0.0,0.0,100.0,2.43255,1.40909,1.90485,12.018,25.878,-8.646
1391,70.2,100.0,100.0,20.0,0.0,0.0,0.0,4.90151,3.19226,1.3715,20.798,26.609,12.399
1392,20.0,20.0,70.2,0.0,0.0,0.0,70.2,10.2744,8.28229,6.59578,34.564,19.098,1.017
1393,20.0,20.0,20.0,0.0,0.0,100.0,0.0,7.67838,16.9057,13.0844,48.141,-61.355,2.325
1394,40.0,100.0,0.0,20.0,0.0,0.0,0.0,11.5297,6.29424,9.27153,30.143,47.439,-16.962
1395,0.0,0.0,7.1,0.0,0.0,0.0,0.0,80.3874,83.1293,66.1962,93.071,0.457,2.199
1396,0.0,20.0,40.0,0.0,0.0,40.0,0.0,32.1205,38.2099,19.8551,68.175,-16.213,20.72
1397,70.2,20.0,20.0,0.0,0.0,100.0,0.0,5.0121,11.7904,11.7435,40.881,-58.573,-6.36
1398,0.0,0.0,40.0,0.0,0.0,0.0,70.2,16.7998,13.4632,16.6613,43.453,23.001,-14.84
1399,20.0,70.2,40.0,0.0,0.0,0.0,40.0,15.5342,10.222,9.70754,38.238,38.283,-4.495
1400,40.0,0.0,100.0,0.0,0.0,100.0,0.0,6.39911,16.2317,3.73473,47.277,-70.31,37.816
1401,40.0,70.2,100.0,0.0,0.0,0.0,70.2,5.43472,3.74707,1.80133,22.817,24.393,11.024
1402,0.0,100.0,0.0,0.0,100.0,100.0,100.0,3.49232,2.42956,0.638494,17.597,20.617,18.285
1403,100.0,40.0,40.0,40.0,0.0,0.0,40.0,2.20895,2.46685,4.97001,17.768,-3.545,-20.185
1404,100.0,70.2,20.0,0.0,70.2,0.0,0.0,4.83183,3.76912,3.38396,22.893,16.697,-1.92
1405,100.0,0.0,40.0,20.0,0.0,0.0,100.0,1.6764,1.1917,5.64875,10.496,15.324,-36.141
1406,0.0,40.0,100.0,0.0,0.0,0.0,100.0,4.65055,2.91666,1.83694,19.707,28.095,5.296
1407,0.0,0.0,0.0,40.0,100.0,100.0,0.0,5.16848,4.42647,1.1763,25.034,11.654,22.249
1408,0.0,98.0,0.0,0.0,0.0,0.0,0.0,33.9641,17.2929,15.8715,48.627,74.554,-4.035
1409,40.0,100.0,40.0,20.0,0.0,40.0,0.0,5.50328,3.54269,3.57408,22.098,28.295,-4.559
1410,0.0,100.0,100.0,40.0,100.0,0.0,0.0,14.346,7.65136,0.521704,33.246,52.679,47.471
1411,20.0,40.0,0.0,0.0,40.0,0.0,0.0,37.4471,27.5358,18.3954,59.467,39.51,8.833
1412,0.0,100.0,100.0,100.0,100.0,0.0,0.0,4.04015,2.66962,0.456674,18.669,24.23,23.566
1413,70.2,100.0,40.0,0.0,0.0,0.0,70.2,3.22717,2.02175,3.91991,15.601,24.923,-17.957
1414,0.0,100.0,100.0,0.0,0.0,0.0,0.0,29.8328,15.2886,1.93139,46.027,70.82,49.727
